Nsample	fc	zr	MNAR	model	pAUROC
5	3	0.4	0.2	ModT-bPCA	0.870317326096664
5	5	0.4	0.2	ModT-bPCA	0.952219846694022
5	10	0.4	0.2	ModT	0.987882516498689
5	1.2	0.4	0.3	Wilcoxon-bPCA	0.51586336299459
5	1.5	0.4	0.3	ModT-bPCA	0.586714371205711
5	1.8	0.4	0.3	ModT-bPCA	0.667787182075226
5	2	0.4	0.3	ModT-bPCA	0.71629688063964
5	3	0.4	0.3	ModT-bPCA	0.86445407199926
5	5	0.4	0.3	ModT	0.951901265990782
5	10	0.4	0.3	ModT	0.987732379869408
5	1.2	0.4	0.4	Wilcoxon-bPCA	0.514697596313786
5	1.5	0.4	0.4	ModT-bPCA	0.582127104963999
5	1.8	0.4	0.4	ModT-bPCA	0.66004035210485
5	2	0.4	0.4	ModT-bPCA	0.707009991568712
5	3	0.4	0.4	ModT-bPCA	0.857632300226867
5	5	0.4	0.4	ModT	0.95114495662968
5	10	0.4	0.4	ModT	0.987706321729579
5	1.2	0.4	0.5	Wilcoxon-bPCA	0.512990333536481
5	1.5	0.4	0.5	ModT-bPCA	0.577511131785484
5	1.8	0.4	0.5	ModT-bPCA	0.650716643704009
5	2	0.4	0.5	ModT-bPCA	0.696205069640749
5	3	0.4	0.5	ModT	0.852081835027714
5	5	0.4	0.5	ModT	0.950522822248181
5	10	0.4	0.5	ModT	0.987400894635878
5	1.2	0.4	0.6	Wilcoxon-bPCA	0.511552167458979
5	1.5	0.4	0.6	ModT-bPCA	0.572860026159339
5	1.8	0.4	0.6	ModT-bPCA	0.640662655302001
5	2	0.4	0.6	ModT-bPCA	0.684888399054141
5	3	0.4	0.6	ModT	0.849392539108132
5	5	0.4	0.6	ModT	0.949120353569427
5	10	0.4	0.6	ModT	0.987079810207464
5	1.2	0.4	0.7	Wilcoxon-SampMin	0.512457799471262
5	1.5	0.4	0.7	ModT-bPCA	0.56808815676035
5	1.8	0.4	0.7	ModT-bPCA	0.630961126647596
5	2	0.4	0.7	ModT	0.679632255931383
5	3	0.4	0.7	ModT	0.846463999716436
5	5	0.4	0.7	ModT	0.947027793269559
5	10	0.4	0.7	ModT	0.986238567129116
5	1.2	0.4	0.8	Wilcoxon-SampMin	0.515213033177968
5	1.5	0.4	0.8	Wilcoxon-SampMin	0.57740504407446
5	1.8	0.4	0.8	Wilcoxon-SampMin	0.640675521763121
5	2	0.4	0.8	ModT	0.678515784246741
5	3	0.4	0.8	ModT	0.841877272640408
5	5	0.4	0.8	ModT	0.943919950543851
5	10	0.4	0.8	ModT	0.985227607373142
5	1.2	0.4	0.9	Wilcoxon-SampMin	0.51872991641061
5	1.5	0.4	0.9	Wilcoxon-SampMin	0.595141383563665
5	1.8	0.4	0.9	Wilcoxon-SampMin	0.675485897411858
5	2	0.4	0.9	Wilcoxon-SampMin	0.717978046873092
5	3	0.4	0.9	ModT	0.835999066637564
5	5	0.4	0.9	ModT	0.939749802124487
5	10	0.4	0.9	ModT	0.98345243899664
5	1.2	0.4	1	Wilcoxon-SampMin	0.522450748754473
5	1.5	0.4	1	ModT-SampMin	0.63175935420524
5	1.8	0.4	1	ModT-SampMin	0.75928040489075
5	2	0.4	1	ModT-SampMin	0.820339799599807
5	3	0.4	1	ModT-SampMin	0.951588059377749
5	5	0.4	1	ModT-SampMin	0.989707428599611
